"","hours","freq","PathOrder"
"1",0,1733,1
"2",1,2662,1
"3",2,3340,1
"4",3,3293,1
"5",4,2570,1
"6",5,1807,1
"7",6,1251,1
"8",7,857,1
"9",8,183,1
"10",9,122,1
"11",10,110,1
"12",11,41,1
"13",12,1,1
"14",13,2,1
"15",14,1,1
"16",15,42,1
"17",16,31,1
"18",17,61,1
"19",18,188,1
"20",19,111,1
"21",20,194,1
"22",21,405,1
"23",22,470,1
"24",23,1173,1
"25",0,0,0
"26",1,0,0
"27",2,0,0
"28",3,0,0
"29",4,0,0
"30",5,0,0
"31",6,0,0
"32",7,0,0
"33",8,0,0
"34",9,0,0
"35",10,0,0
"36",11,0,0
"37",12,0,0
"38",13,0,0
"39",14,0,0
"40",15,0,0
"41",16,0,0
"42",17,0,0
"43",18,0,0
"44",19,0,0
"45",20,0,0
"46",21,0,0
"47",22,0,0
"48",23,0,0
